"Device ID:-ESP098990, FileName:-1162019-07-23_15H35M13S.csv, Load:-116"
TimeElapsed,Value
1:25:28,2.631
1:25:32,2.631
1:25:36,2.631
1:25:40,2.637
1:25:44,2.631
1:25:48,2.631
1:25:52,2.637
1:25:56,2.631
1:26:0,2.631
1:26:4,2.637
1:26:8,2.637
1:26:12,2.631
1:26:16,2.631
1:26:20,2.631
1:26:24,2.631
1:26:28,2.631
1:26:32,2.631
1:26:36,2.631
1:26:40,2.631
1:26:44,2.631
1:26:48,2.631
1:26:52,2.631
1:26:56,2.631
1:27:0,2.631
1:27:4,2.631
1:27:8,2.631
1:27:12,2.631
1:27:16,2.631
1:27:20,2.631
1:27:24,2.631
1:27:28,2.631
1:27:32,2.631
1:27:36,2.631
1:27:40,2.631
1:27:44,2.631
1:27:48,2.631
1:27:52,2.631
1:27:56,2.631
1:28:0,2.631
1:28:4,2.631
1:28:8,2.631
1:28:12,2.631
1:28:16,2.631
1:28:20,2.631
1:28:24,2.631
1:28:28,2.631
1:28:32,2.631
1:28:36,2.631
1:28:40,2.631
1:28:44,2.631
1:28:48,2.631
1:28:52,2.631
1:28:56,2.631
1:29:0,2.631
1:29:4,2.631
1:29:8,2.631
1:29:12,2.631
1:29:16,2.631
1:29:20,2.631
1:29:24,2.631
1:29:28,2.631
1:29:32,2.631
1:29:36,2.631
1:29:40,2.631
1:29:44,2.631
1:29:48,2.631
1:29:52,2.631
1:29:56,2.631
1:30:0,2.631
1:30:4,2.631
1:30:8,2.631
1:30:12,2.631
1:30:16,2.631
1:30:20,2.631
1:30:24,2.631
1:30:28,2.631
1:30:32,2.631
1:30:36,2.631
1:30:40,2.631
1:30:44,2.628
1:30:48,2.628
1:30:52,2.628
1:30:56,2.631
1:31:0,2.631
1:31:4,2.631
1:31:8,2.631
1:31:12,2.631
1:31:16,2.628
1:31:20,2.631
1:31:24,2.628
1:31:28,2.628
1:31:32,2.628
1:31:36,2.628
1:31:40,2.631
1:31:44,2.631
1:31:48,2.631
